#sourcename, flux, flux_err, ra, dec, ra_err, dec_err, bmaj, bmin, pos_angle, rms
SERPS_lower.S1 6.48554383967e-05 2.43802054e-05 -82.4385024926 -2.02436060159 0.896062513387 0.734006732144 4.82000000008 3.84999965307 13.4000000032 3.80641686206e-05
SERPS_lower.S2 0.000598665589112 2.51106814454e-05 -82.4597103572 -2.00919432959 0.0999812106415 0.0818992878314 4.81999999998 3.8499996783 13.4000000009 3.80641686206e-05
SERPS_lower.S3 4.09088179455e-05 2.53394167962e-05 -82.4744972155 -2.01288888541 1.47646754571 1.2094436517 4.82000000007 3.84999993134 13.3999999971 3.80641686206e-05
SERPS_lower.S4 0.000119733128312 1.19570446535e-05 -82.4801395841 -2.00958333586 0.238044500339 0.194993388506 4.81999999988 3.85000001568 13.3999999949 3.80641686206e-05
SERPS_lower.S5 7.28376555501e-05 1.36691825197e-05 -82.4894786858 -2.01347219255 0.447331567652 0.366430218039 4.81999999996 3.85000014741 13.3999999961 3.80641686206e-05
SERPS_lower.S6 0.000997776116713 2.08167247463e-05 -82.4935645505 -2.01444438352 0.0497310810961 0.04073705548 4.81999999971 3.85000019889 13.3999999852 3.80641686206e-05
SERPS_lower.S7 5.68732348817e-05 2.51598775776e-05 -82.4723569563 -2.02474998986 1.05449568563 0.863786756736 4.81999999999 3.84999994339 13.4000000006 3.80641686206e-05
SERPS_lower.S8 4.2904370581e-05 2.56326077013e-05 -82.4758591342 -2.0290277788 0.000396406040193 0.000324714735654 4.82000000019 3.84999997976 13.4000000002 3.80641686206e-05
SERPS_lower.S9 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
SERPS_lower.S10 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
SERPS_lower.S11 0.000149666409473 0.000103344122824 -82.4877277569 -2.04224998177 1.64590603657 1.34823864772 4.81999999995 3.84999999204 13.3999999961 3.80641686206e-05
SERPS_lower.S12 0.000149666409333 1.3502455209e-05 -82.4873386258 -2.04322220601 0.21504943076 0.176157051057 4.82000000015 3.84999998827 13.4000000058 3.80641686206e-05
SERPS_lower.S13 0.0004290437058 2.45902420616e-05 -82.4859766611 -2.04613887903 0.136616638391 0.111909080899 4.81999999997 3.84999997985 13.4000000001 3.80641686206e-05
SERPS_lower.S14 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
SERPS_lower.S15 0.000169621929414 1.36813918438e-05 -82.4851984105 -2.05236110442 0.19226074361 0.157489771113 4.81999999996 3.849999962 13.4000000034 3.80641686206e-05
SERPS_lower.S16 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
SERPS_lower.S17 3.79154903586e-05 2.31070208824e-05 -82.4809178886 -2.05391667036 1.45270397751 1.18997780108 4.82000000006 3.84999998776 13.4000000022 3.80641686206e-05
SERPS_lower.S18 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
SERPS_lower.S19 0.000119733122426 1.00352200098e-05 -82.4945378269 -2.06188882046 0.199781335174 0.163650239558 4.81999999999 3.84999982633 13.4000000012 3.80641686206e-05
SERPS_lower.S20 5.88687834627e-05 1.18587510869e-05 -82.4999858601 -2.06655542624 0.48017549169 0.393334213011 4.82000000004 3.84999971313 13.4000000026 3.80641686206e-05
SERPS_lower.S21 0.000149666420519 2.50252350327e-05 -82.4608770609 -2.06908323502 0.398563370893 0.326481906174 4.82000000001 3.85000027613 13.4000000029 3.80641686206e-05
SERPS_upper.S1 9.96939296471e-05 1.90120356951e-05 -82.4385024926 -2.02436060159 0.297288949503 0.243616080954 3.14999999996 2.51999977893 12.6999999957 3.00388892356e-05
SERPS_upper.S2 0.000548316617164 1.93237076182e-05 -82.4597103572 -2.00919432959 0.0549382402002 0.0450196308825 3.14999999997 2.51999979778 12.7000000005 3.00388892356e-05
SERPS_upper.S3 2.5920423537e-05 1.93608652254e-05 -82.4744972155 -2.01288888541 1.1643897232 0.954169542941 3.15000000001 2.51999995668 12.699999999 3.00388892356e-05
SERPS_upper.S4 5.0843908785e-05 8.59725341039e-06 -82.4801395841 -2.00958333586 0.263597264794 0.216007129449 3.14999999997 2.52000001013 12.6999999978 3.00388892356e-05
SERPS_upper.S5 4.98469710365e-05 8.0453352801e-06 -82.4894786858 -2.01347219255 0.251605312843 0.206180217477 3.15 2.52000009298 12.6999999946 3.00388892356e-05
SERPS_upper.S6 0.000398775773404 1.08587331442e-05 -82.4935645505 -2.01444438352 0.0424492951138 0.0347854534525 3.14999999992 2.52000012535 12.6999999935 3.00388892356e-05
SERPS_upper.S7 4.48622716437e-05 1.18180818906e-05 -82.4723569563 -2.02474998986 0.410659078679 0.336518244365 3.15000000003 2.51999996437 12.7000000073 3.00388892356e-05
SERPS_upper.S8 4.78530901905e-05 1.22606312447e-05 -82.4758591342 -2.0290277788 0.399413679453 0.32730310168 3.15000000025 2.51999998722 12.700000005 3.00388892356e-05
SERPS_upper.S9 2.59204242796e-05 7.82995836842e-06 -82.4906462136 -2.03330551911 0.470908142903 0.385889877357 3.15000000002 2.52000002887 12.7000000011 3.00388892356e-05
SERPS_upper.S10 5.28377873892e-05 4.35668039039e-05 -82.4883114499 -2.04030553411 1.28537528165 1.05331223779 3.14999999995 2.52000000195 12.6999999967 3.00388892356e-05
SERPS_upper.S11 5.28377872604e-05 3.19557035002e-05 -82.4877277569 -2.04224998177 0.942798402232 0.772584558777 3.14999999994 2.51999999582 12.6999999957 3.00388892356e-05
SERPS_upper.S12 5.28377872202e-05 8.03285488563e-06 -82.4873386258 -2.04322220601 0.236999066994 0.194210999054 3.14999999991 2.51999999392 12.6999999931 3.00388892356e-05
SERPS_upper.S13 4.48622720654e-05 1.03681470728e-05 -82.4859766611 -2.04613887903 0.360274637615 0.295230264796 3.14999999998 2.5199999881 12.6999999965 3.00388892356e-05
SERPS_upper.S14 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
SERPS_upper.S15 0.000189418481212 1.81390865315e-05 -82.4851984105 -2.05236110442 0.149281797979 0.122330300679 3.14999999991 2.51999997696 12.7000000067 3.00388892356e-05
SERPS_upper.S16 0.00018941848146 1.3717119375e-05 -82.484030998 -2.05333333061 0.112891510481 0.0925099550534 3.14999999993 2.51999998024 12.7000000061 3.00388892356e-05
SERPS_upper.S17 3.88806358612e-05 1.40267012741e-05 -82.4809178886 -2.05391667036 0.562397670349 0.460861786545 3.1499999999 2.51999999278 12.6999999905 3.00388892356e-05
