3.041	-0.451
0.778	-2.046
0.903	-1.092
1.000	-1.833
1.230	-1.917
1.633	-1.662
1.146	-1.625
0.954	-1.396
1.903	-1.009
0.663	-2.176
1.230	-0.959
-0.824	-2.562
0.255	-2.629
0.844	-1.930
1.519	-3.959
0.954	-2.114
-0.301	-2.562
1.322	-1.537
0.556	-2.562
1.420	-1.277
1.230	-1.595
0.903	-1.051
1.602	-0.740
1.447	-1.470
1.845	-0.634
2.158	-0.956
1.415	-1.004
0.699	-1.393
1.079	0.706
1.322	-1.137
0.778	-1.296
1.602	-1.155
2.477	-0.721
2.603	-0.038
1.398	-0.697
1.079	-0.662
2.643	-0.504
3.146	0.698
0.000	-1.824
1.431	-1.131
0.431	-1.990
2.090	-0.553
2.170	-0.745
1.114	-1.907
0.519	-1.489
0.491	-1.882
0.763	-1.458
0.000	-2.469
0.672	-2.134
1.903	-1.301
0.968	-1.907
1.033	-1.271
0.362	-1.879
0.477	-2.046
1.279	-0.495
1.663	-0.140
0.954	-1.938
