-0.451	-3.420
-2.046	-3.347
-1.092	-3.921
-1.833	-5.959
-1.917	-4.620
-1.662	-4.959
-1.625	-4.721
-1.396	-4.509
-1.009	-2.959
-2.176	-5.284
-0.959	-4.398
-2.562	-4.824
-1.930	-5.347
-3.959	-3.959
-2.114	-5.854
-2.562	-5.509
-1.537	-2.959
-2.562	-5.215
-1.051	-2.921
-1.470	-4.377
-0.634	-4.620
-0.956	-3.046
-1.004	-3.398
-0.721	-2.495
-0.038	-2.041
-0.697	-4.301
-0.662	-3.569	
-1.131	-3.060
-1.990	-3.678
-0.553	-3.108
-0.745	-3.276
-1.907	-4.824
-1.489	-3.432
-1.882	-4.620
-1.458	-4.620
-2.469	-5.268
-2.134	-4.824
-1.301	-4.000
-1.271	-4.301
-1.879	-4.959
-2.046	-4.347
-0.495	-4.638
-0.140	-3.523
-1.938	-3.523
