#RA, Dec, Flux_4.5GHz (mJy), Flux_4.5_Err, Flux_7.5GHz (mJy), Flux_7.5_Err, Spix, Spix_Err
246.420583333	24.6964444444	0.439	0.043	0.294	0.042	-0.81	0.38
246.448666667	24.6265833333	0.419	0.021	0.406	0.028	-0.06	0.22
246.454	24.6804166667	0.649	0.034	0.292	0.032	-1.61	0.28
246.460458333	24.6540833333	0.357	0.025	0.284	0.018	-0.46	0.24
246.466291667	24.4880555556	0.171	0.035	0.115	0.024	-0.8	0.61
246.483708333	24.50425	0.672	0.015	0.676	0.024	0.01	0.17
246.489625	24.5089166667	0.461	0.017	0.407	0.017	-0.25	0.18
246.512541667	24.3934444444	2.67	0.09	2.52	0.09	-0.12	0.18
246.531791667	24.4615833333	0.21	0.021	0.101	0.021	-1.48	0.49
246.531791667	24.6135833333	0.583	0.017	0.367	0.014	-0.94	0.17
246.543	24.3485833333	0.1	0.012	0.16	0.022	0.95	0.4
246.543958333	24.4814722222	0.209	0.015	0.168	0.019	-0.44	0.31
246.546166667	24.4853888889	0.451	0.01	0.298	0.016	-0.84	0.18
246.549125	24.6212222222	0.166	0.012	0.111	0.012	-0.81	0.3
246.570166667	24.3731944444	0.337	0.015	0.36	0.024	0.13	0.22
246.573583333	24.6706944444	0.465	0.026	0.331	0.025	-0.69	0.24
246.5905	24.38075	0.238	0.017	0.304	0.029	0.49	0.28
246.59325	24.3814722222	2.02	0.06	1.42	0.07	-0.71	0.18
246.598208333	24.411	0.124	0.017	0.115	0.008	-0.15	0.34
246.600333333	24.2704166667	0.192	0.015	0.344	0.028	1.18	0.27
246.60675	24.4081111111	0.218	0.014	0.198	0.023	-0.19	0.3
246.609625	24.4083888889	0.189	0.034	0.189	0.034	-0.0	0.53
246.623458333	24.3881111111	0.228	0.014	0.124	0.018	-1.23	0.35
246.623625	24.3182777778	0.267	0.017	0.227	0.021	-0.33	0.27
246.627458333	24.3397222222	0.098	0.013	0.064	0.017	-0.86	0.62
246.630333333	24.3091388889	0.242	0.026	0.139	0.015	-1.12	0.34
246.630583333	24.5616111111	0.222	0.056	0.166	0.026	-0.59	0.62
246.636583333	24.2743055556	0.093	0.015	0.142	0.024	0.86	0.49
246.638166667	24.8796388889	0.803	0.027	0.918	0.043	0.27	0.18
246.6395	24.2044166667	2.12	0.03	0.927	0.032	-1.67	0.16
246.642375	24.3912222222	7.98	0.25	7.07	0.34	-0.24	0.18
246.645625	24.4486944444	0.197	0.019	0.1	0.013	-1.37	0.36
246.647208333	24.4014444444	0.65	0.038	0.329	0.033	-1.38	0.27
246.654	24.6321944444	0.4	0.026	0.175	0.024	-1.67	0.34
246.655291667	24.7649722222	0.291	0.033	0.181	0.026	-0.96	0.4
246.662458333	24.7580555556	0.378	0.019	0.229	0.05	-1.01	0.47
246.6625	24.5146666667	0.405	0.027	0.237	0.019	-1.08	0.25
246.665416667	24.2693611111	0.119	0.016	0.066	0.014	-1.19	0.53
246.671291667	24.9821666667	0.645	0.026	0.825	0.027	0.5	0.18
246.676833333	24.4405833333	2.66	0.06	2.48	0.1	-0.14	0.17
246.677208333	24.7745277778	0.957	0.017	0.831	0.043	-0.29	0.18
246.682333333	24.2759444444	1.31	0.04	1.35	0.04	0.07	0.17
246.693166667	24.3338888889	0.553	0.021	0.768	0.02	0.66	0.17
246.696541667	24.8659444444	0.591	0.025	0.351	0.084	-1.05	0.51
246.696791667	24.6056388889	0.418	0.015	0.487	0.024	0.31	0.19
246.698208333	24.9652222222	0.575	0.062	0.308	0.028	-1.26	0.32
246.705125	24.33425	0.995	0.027	0.744	0.04	-0.59	0.19
246.707916667	24.9381944444	0.202	0.015	0.187	0.018	-0.16	0.28
246.715375	24.2448611111	0.21	0.016	0.147	0.017	-0.72	0.31
246.722416667	24.1849444444	0.283	0.02	0.276	0.016	-0.05	0.23
246.741	24.7004444444	0.174	0.018	0.161	0.016	-0.16	0.32
246.742708333	24.6273611111	0.112	0.011	0.054	0.013	-1.47	0.54
246.74325	24.3584722222	0.204	0.017	0.162	0.028	-0.47	0.41
246.7465	24.5830277778	0.551	0.016	0.702	0.024	0.49	0.17
246.75	24.4445277778	0.711	0.015	0.709	0.038	-0.01	0.18
246.750083333	24.5937777778	0.245	0.013	0.191	0.013	-0.5	0.23
246.758791667	24.6451388889	0.22	0.017	0.224	0.016	0.04	0.26
246.758958333	24.3243888889	0.548	0.019	0.309	0.016	-1.16	0.19
246.759708333	24.62425	0.102	0.016	0.121	0.014	0.35	0.42
246.759833333	24.4568888889	0.362	0.019	0.232	0.025	-0.9	0.28
246.7715	24.3355	0.254	0.022	0.141	0.015	-1.19	0.31
246.771875	24.6082777778	0.146	0.03	0.133	0.014	-0.19	0.49
246.774833333	24.4385833333	0.385	0.03	0.289	0.021	-0.58	0.26
246.789208333	24.6219444444	0.251	0.015	0.357	0.016	0.71	0.21
246.797041667	24.6229166667	0.145	0.012	0.08	0.01	-1.2	0.33
246.804416667	24.3047222222	0.3	0.018	0.179	0.018	-1.04	0.28
246.80675	24.3739166667	0.131	0.02	0.108	0.026	-0.39	0.59
246.815375	24.6460277778	0.22	0.016	0.236	0.028	0.14	0.32
246.825708333	24.4813611111	3.78	0.07	3.14	0.09	-0.38	0.16
246.826041667	24.5596666667	0.299	0.028	0.114	0.014	-1.95	0.34
246.830583333	24.5251111111	0.121	0.018	0.085	0.012	-0.71	0.44
246.83125	24.6945277778	0.16	0.037	0.087	0.012	-1.23	0.56
246.840875	24.7266388889	0.366	0.023	0.342	0.022	-0.14	0.23
