## Peak Fluxes for Upper image
# ID, Peak Flux (Jy/beam)
1,  0.000794511
2,  7.20789e-05
3,  8.78963e-05
4,  0.00051554
5,  0.000173664
6,  5.63925e-05
7,  6.3553e-05
8,  5.02697e-05
9,  4.45997e-05
10, 7.35987e-05
11, 5.88694e-05
12, 5.81513e-05
13, 0.000227971
14, 6.17817e-05
15, 5.10481e-05
16, 6.57375e-05
17, 0.000167787
18, 0.000134831


