## Peak Fluxes for Lower Image
# ID, Peak Flux (Jy/beam)
1,  6.517e-5
2,  6.079e-4
3,  4.153e-5
4,  1.262e-4
5,  7.336e-5
6,  1.070e-3
7,  5.748e-5
8,  4.380e-5
9,  4.073e-5
10, 9.86e-5
11, 1.151e-4
12, 1.151e-4
13, 4.296e-5
14, 2.173e-5
15, 1.756e-4
16, 5.009e-5
17, 3.823e-5
18, 5.005e-5
19, 1.22e-4
20, 5.922e-5
21, 1.537e-4


