## Peak Fluxes for Lower Image
# ID, Peak Flux (Jy/beam)
1,  0.000718453
2,  0.00013866
3,  9.99198e-05
4,  0.00117872
5,  9.55815e-05
6,  6.18457e-05
7,  4.02029e-05
8,  4.656e-05
9,  5.08584e-05
10, 0.000119587
11, 3.64048e-05
12, 2.42994e-05
13, 0.000178747
14, 3.74166e-05
15, 5.27896e-05
16, 5.87314e-05
17, 0.000135598
18, 0.00018231

