#RA, DEC, Source Num
277.54029, -2.0066667, 1
277.52, -2.0075139, 2
277.51062, -2.0114722, 3
277.50358, -2.0117444, 4
277.56162, -2.0217361, 5
277.52758, -2.0227222, 6
277.52424, -2.0270972, 7
277.52875, -2.0345278, 8
277.51166, -2.0388472, 9
277.50845, -2.0420417, 10
277.51152, -2.0471111, 11
277.52065, -2.049625, 12
277.51102, -2.0523611, 13
277.51404, -2.0547828, 14
277.52117, -2.0553889, 15
277.51054, -2.0583611, 16
277.50255, -2.0629444, 17
277.53918, -2.0671667, 18
